smiles,parent1_id,reaction_id,zinc_id,source,generation,parent2_id,compound_id,fitness
CC(C)Nc1nc(N)nc(=O)[nH]1,70.0,,,crossover,[2],19.0,79.0,-0.910393243396101
Cc1ccccc1-n1nnnc1SCC(=O)c1c(N)n(C)c(=O)n(C)c1=O,58.0,,,crossover,[2],70.0,80.0,0.11954318767617367
CCOC(=O)C(C(=O)N(C)CC1(C)CC1)[C@@H]1CCS(=O)(=O)C1,64.0,,,crossover,[2],57.0,81.0,-0.9266186277544679
COC1CCC(C=NNC(=O)c2cc(C)nn2C)C(C(=O)[O-])(n2nnnc2SCC(=O)c2c(N)n(C)c(=O)n(C)c2=O)C1OC,5.0,,,crossover,[2],29.0,82.0,-5.3972187429423215
COC(=O)c1cc(S(=O)(=O)N2CC[NH+](CC(C)C)CC2)oc1C,8.0,,,crossover,[2],31.0,83.0,-1.6382055038734569
Cc1oncc1CN(CC[NH+](C)C)C(=O)c1ccc(CNC(=O)[C@@H]2CCO[C@@H]2C)cc1,59.0,,,crossover,[2],83.0,84.0,-1.408566816013363
COc1ccc(C=NNC(=O)c2cc(C)nn2C)c(C(=O)NC(=N)C(F)(F)F)c1OC,1.0,,,crossover,[2],55.0,85.0,0.7611505589903286
CN(CC1(C)CC1)C(=O)C(=O)c1c(N)n(C)c(=O)n(C)c1=O,57.0,,,crossover,[2],80.0,86.0,-1.185046240311032
Cc1noc([C@@H]2CN(CC(=O)N(C)C)CCO2)n1,14.0,,,crossover,[2],31.0,87.0,-0.7479162370249486
O=C([O-])CCCCC(=O)NC(=O)NC1CC1,41.0,,,crossover,[2],54.0,88.0,-0.5259404544441886
CCOC(=O)C(C(=O)OC)[C@@H]1CCS(=O)(=O)C1,38.0,,,crossover,[2],63.0,89.0,-1.1342568296072075
COC(=O)CCCOC(=O)CCc1ccco1,8.0,14,ZINC000000152318,mutation,"[1, 2, 3, 4]",,67.0,2.044963353776135
O=C(COC(=O)CCCO)Nc1ccc(Cl)cn1,8.0,,,crossover,"[1, 2, 3]",11.0,73.0,1.5164300503808998
COC(=O)CCCOC(=O)C(F)(F)F,8.0,27,ZINC000059699251,mutation,"[1, 2, 3]",,50.0,1.403878681401769
Cc1ccccc1-n1nnnc1SCC(=CCNc1cccnc1C)c1c(N)n(C)c(=O)n(C)c1=O,29.0,86,ZINC001167815567,mutation,"[1, 2]",,52.0,0.8598023118914625
O=C(CCCCC(=O)SC1CCNCC1)NC(=O)NC1CC1,41.0,15,ZINC000005847841,mutation,"[1, 2]",,54.0,1.050565180895545
CNc1ccc(Nc2nc(NC(C)C)[nH]c(=O)n2)cc1C#N,19.0,87,ZINC000002579267,mutation,"[1, 2]",,63.0,0.8222772238139541
Cc1cccc(OCC(=O)NC(=S)N(Cc2ccc(Cl)nc2)C(=O)Cn2cnc3c2c(=O)n(C)c(=O)n3C)c1C,9.0,32,ZINC000070461487,mutation,"[1, 2]",,51.0,0.6456083558936712
CC[C@@H](F)C(=N)NC(=O)c1c(C=NNC(=O)c2cc(C)nn2C)ccc(OC)c1OC,5.0,13,ZINC000257197864,mutation,"[1, 2]",,55.0,0.2548544389326354
COC(=O)CCCO,,,,initial,"[0, 1, 2]",,8.0,0.9112545556769073
Cc1ccccc1-n1nnnc1SCC(=O)c1c(N)n(C)c(=O)n(C)c1=O,29.0,,,crossover,"[1, 2]",43.0,70.0,0.11954318767617367
